,user_id,age,education_level,children,professional_interests,last_job,gender,country,self_initiative,flexibility,leadership,communication,creativity,customer_orientation,organization,problem_solving,resilience,goal_orientation,job_recommendations,job_ratings,created
10,10747,48.0,Volks-/Hauptschulabschluss oder vergleichbar,ein Kind,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Naturwissenschaft, Geografie und Informatik""]",Key Account Manager,m,de,100,89,100,100,100,94,100,94,72,83,"http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,http://data.europa.eu/esco/occupation/580c98d4-fb97-4597-864c-54140f058f1b,http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,http://data.europa.eu/esco/occupation/09c2b506-cefa-4ba3-b868-a9c2bc4fc6f1,http://data.europa.eu/esco/occupation/0af6fc82-8e5e-46c6-a4ca-a672ecf7704c","0,0,0,0,0",2023-12-25 13:39:09
11,10748,26.0,Bachelor oder vergleichbar,keine,"[""Bau, Architektur, Vermessung und Gebäudetechnik""]",3D-Artist/3D-Artistin,f,andere,78,56,100,100,72,78,100,44,56,100,"http://data.europa.eu/esco/occupation/8cf68522-dfc9-43c0-9f65-892703f4705e,http://data.europa.eu/esco/occupation/f0ca39a8-1e30-487c-95f9-ef2d5e734adc,http://data.europa.eu/esco/occupation/c3760388-d070-491a-9c1f-be305a576815,http://data.europa.eu/esco/occupation/691d30cc-6b2c-4025-89b4-3e719fe664c7,http://data.europa.eu/esco/occupation/7dec82e0-3bfc-4c48-812d-c2095bfe05bb","0,0,0,0,0",2023-12-26 12:33:18
12,10749,59.0,(Werk-)Realschulabschluss oder vergleichbar,keine,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus""]","Selbständiger System. Coach, Business-Coach, Psychologischer Berater",m,de,78,72,67,78,78,89,78,100,67,67,"http://data.europa.eu/esco/occupation/8249697a-3dc8-417d-9acf-3a7e0864069a,http://data.europa.eu/esco/occupation/2bef94db-0088-4507-982a-2ca717529adb,http://data.europa.eu/esco/occupation/0f7c84c5-1c0d-4fc1-8949-07dbe8bd34ef,http://data.europa.eu/esco/occupation/bac62d45-bb74-45fa-9b38-a3ebf2095212,http://data.europa.eu/esco/occupation/3a67544c-919f-4051-b812-c08e69eec3fd","0,0,0,0,0",2023-12-26 15:49:15
13,10750,39.0,Kein Schulabschluss/gehe noch zur Schule,zwei Kinder,"[""Verkehr, Logistik, Schutz und Sicherheit"",""Gesundheit, Soziales, Lehre und Erziehung""]",Bäcker/Bäckerin,f,de,67,67,61,61,67,56,56,61,50,67,"http://data.europa.eu/esco/occupation/50609eb5-9957-4cbf-9b91-6f46ce49cfad,http://data.europa.eu/esco/occupation/5001506f-dd7d-4801-92ac-6f7e93b45133","0,0",2023-12-27 13:09:35
14,10751,35.0,Master/Diplom oder vergleichbar,zwei Kinder,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Naturwissenschaft, Geografie und Informatik"",""Bau, Architektur, Vermessung und Gebäudetechnik""]",Betriebswirte und vergleichbare akademische Berufe,m,andere,83,83,89,89,83,83,83,89,83,83,"http://data.europa.eu/esco/occupation/a580e79a-b752-49c1-b033-b5ab2b34bfba,http://data.europa.eu/esco/occupation/c7f5cab7-7cfb-47d7-890c-6b9c00a9eaaf,http://data.europa.eu/esco/occupation/e666c384-2a14-4cd9-981f-7067dc0bb9a9,http://data.europa.eu/esco/occupation/99b096eb-a628-4e69-a79b-0563f2ed1b93,http://data.europa.eu/esco/occupation/2b48a4cd-2333-4abf-ac3e-6f63d6ed3663","1,1,1,1,1",2023-12-27 15:27:08
15,10752,0.0,,,,,o,,94,94,72,72,100,78,89,67,56,94,"http://data.europa.eu/esco/occupation/371885b5-0f93-406f-b96a-58ecd5bbc3ce,http://data.europa.eu/esco/occupation/96be6ac3-5932-4bfc-933d-84b267d0d486,http://data.europa.eu/esco/occupation/45f8504d-24ac-4bcd-8692-a93acc74204c,http://data.europa.eu/esco/occupation/1f8967ce-9faa-4d56-a656-50e041f7d07e,http://data.europa.eu/esco/occupation/cd4f41a5-87a6-4b3c-8ee3-14e6f457c365","-1,0,-1,-1,-1",2023-12-27 17:12:43
16,10753,24.0,Abgeschlossene Ausbildung,keine,"[""Naturwissenschaft, Geografie und Informatik""]",Lagerarbeiter/Lagerarbeiterin,m,de,89,83,89,78,67,100,83,61,50,78,"http://data.europa.eu/esco/occupation/69e4e877-9d7a-4df0-973b-34defd318e26,http://data.europa.eu/esco/occupation/8f9b20ff-86b3-478c-8054-73a220973d6f,http://data.europa.eu/esco/occupation/9a26d76b-b9e3-46ae-ab4b-057a1262138b,http://data.europa.eu/esco/occupation/146f2c99-3f8b-4856-95ba-3ecfea681809,http://data.europa.eu/esco/occupation/97d65832-3817-4ded-946b-cfc4a0237b9a","-1,-1,-1,-1,-1",2023-12-27 19:32:10
17,10754,22.0,(Fach-)Abitur oder vergleichbar,keine,"[""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur"",""Gesundheit, Soziales, Lehre und Erziehung"",""Bau, Architektur, Vermessung und Gebäudetechnik"",""Land-, Forst- und Tierwirtschaft und Gartenbau""]",,f,de,83,72,61,72,83,56,56,50,44,67,"http://data.europa.eu/esco/occupation/89b85c45-ddc7-4fe1-be5a-d3db2be11f3b,http://data.europa.eu/esco/occupation/789d9781-8724-4367-936a-3a4cb7c54315,http://data.europa.eu/esco/occupation/b997a091-23b3-4f87-a6bc-bdbea2f609ae,http://data.europa.eu/esco/occupation/30cdbb0a-4f62-4d0e-811c-72e3f95d017b,http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01","0,0,0,0,0",2023-12-29 10:55:08
18,10755,55.0,(Fach-)Abitur oder vergleichbar,keine,"[""Land-, Forst- und Tierwirtschaft und Gartenbau"",""Verkehr, Logistik, Schutz und Sicherheit"",""Gesundheit, Soziales, Lehre und Erziehung""]",Verwaltungsangestellte,f,de,50,67,89,100,61,100,100,50,28,44,"http://data.europa.eu/esco/occupation/b476f45f-2c79-44d5-a4d7-fa357aa83074,http://data.europa.eu/esco/occupation/d9004a14-bda2-4c63-ab64-17ca163ac1bd,http://data.europa.eu/esco/occupation/80d880ec-3bae-45a2-a2d3-41345ee0b319,http://data.europa.eu/esco/occupation/13e30c08-8834-4e4f-b6f9-89fffed4e310,http://data.europa.eu/esco/occupation/929ef41d-afd0-4d5a-b85b-69eab68fa368","0,0,0,0,0",2023-12-29 11:45:51
19,10757,23.0,Abgeschlossene Ausbildung,keine,"[""Gesundheit, Soziales, Lehre und Erziehung"",""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus""]",Gesundheits- und Krankenpfleger/Gesundheits- und Krankenschwester,f,de,61,67,78,78,83,78,78,33,50,78,"http://data.europa.eu/esco/occupation/2c8a4b72-21f4-4ab1-9dbd-1cae779211b7,http://data.europa.eu/esco/occupation/b8139469-92cc-4f57-9e69-a0d9f7fc3817,http://data.europa.eu/esco/occupation/336cf331-8082-4a0c-bf5f-e7c54706211c,http://data.europa.eu/esco/occupation/73b10c97-b003-45dc-a36d-c1d585c04be1,http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2","-1,-1,-1,-1,-1",2023-12-30 22:45:28
20,10756,35.0,Bachelor oder vergleichbar,keine,"[""Rohstoffgewinnung, Produktion und Fertigung""]",Produktionsmitarbeiter,f,andere,67,67,83,72,67,33,72,44,39,83,"http://data.europa.eu/esco/occupation/bf89925d-00a1-4f94-ab3b-2148c887af33,http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae,http://data.europa.eu/esco/occupation/4c9ca706-3973-4926-854d-44011662ca83,http://data.europa.eu/esco/occupation/6db9eeae-aef5-4f56-913d-4650e4c720c6,http://data.europa.eu/esco/occupation/511f366c-ba41-4826-9622-8cda6d6e3b91","0,0,0,0,0",2023-12-31 02:41:29
21,10759,520.0,(Werk-)Realschulabschluss oder vergleichbar,keine,"[""Gesundheit, Soziales, Lehre und Erziehung""]",Einzelhändler/Einzelhändlerin,f,de,83,67,83,83,78,94,100,94,78,94,"http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,http://data.europa.eu/esco/occupation/49713da4-4e97-4f82-bd1c-16ce7f9179b7,http://data.europa.eu/esco/occupation/c7f5cab7-7cfb-47d7-890c-6b9c00a9eaaf,http://data.europa.eu/esco/occupation/96be6ac3-5932-4bfc-933d-84b267d0d486,http://data.europa.eu/esco/occupation/78faf623-2543-43a5-acb2-3c43a22d36e4","1,1,1,0,0",2023-12-31 09:36:13
22,10760,43.0,(Werk-)Realschulabschluss oder vergleichbar,ein Kind,"[""Verkehr, Logistik, Schutz und Sicherheit""]",,m,andere,94,89,67,83,89,72,56,61,33,61,"http://data.europa.eu/esco/occupation/bca2528a-5a87-4576-a3b5-1edbbce40a9f,http://data.europa.eu/esco/occupation/89b85c45-ddc7-4fe1-be5a-d3db2be11f3b,http://data.europa.eu/esco/occupation/834aab9b-2246-4c3e-ab4a-cf3de1267e1a,http://data.europa.eu/esco/occupation/789d9781-8724-4367-936a-3a4cb7c54315,http://data.europa.eu/esco/occupation/9c9752b7-3e3b-4a08-8553-b63a013f8072","0,0,0,0,0",2023-12-31 22:02:58
23,10761,40.0,Abgeschlossene Ausbildung,zwei Kinder,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus""]","Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen",f,de,78,83,94,89,83,100,100,83,78,94,"http://data.europa.eu/esco/occupation/c7f5cab7-7cfb-47d7-890c-6b9c00a9eaaf,http://data.europa.eu/esco/occupation/11695786-9fb7-4895-b161-0480419107e4,http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,http://data.europa.eu/esco/occupation/56bff5e1-3c76-4f45-b50e-e3a59bf1053e,http://data.europa.eu/esco/occupation/2b48a4cd-2333-4abf-ac3e-6f63d6ed3663","-1,-1,-1,-1,-1",2024-01-02 18:43:19
24,10765,32.0,Master/Diplom oder vergleichbar,keine,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Gesundheit, Soziales, Lehre und Erziehung""]",Marketingassistent/Marketingassistentin,f,andere,67,72,78,67,83,94,94,83,61,78,"http://data.europa.eu/esco/occupation/e40e4a07-4246-4c6f-a51c-89d35b6fe75e,http://data.europa.eu/esco/occupation/56bff5e1-3c76-4f45-b50e-e3a59bf1053e,http://data.europa.eu/esco/occupation/96be6ac3-5932-4bfc-933d-84b267d0d486,http://data.europa.eu/esco/occupation/394bdd9b-3ee8-43a9-b943-442ce146bb21,http://data.europa.eu/esco/occupation/4a1125ee-5728-4b1f-b655-7b8eb2e27660","0,0,0,0,0",2024-01-03 15:01:49
25,10766,53.0,Master/Diplom oder vergleichbar,zwei Kinder,"[""Land-, Forst- und Tierwirtschaft und Gartenbau"",""Rohstoffgewinnung, Produktion und Fertigung"",""Bau, Architektur, Vermessung und Gebäudetechnik"",""Verkehr, Logistik, Schutz und Sicherheit""]",Hausmeister,m,andere,61,67,83,67,72,83,78,72,72,78,"http://data.europa.eu/esco/occupation/b3867d0a-e902-4d88-b0c2-3e0d2cf35c83,http://data.europa.eu/esco/occupation/394bdd9b-3ee8-43a9-b943-442ce146bb21,http://data.europa.eu/esco/occupation/3417aab3-8b87-4c3b-bee6-be03fe05be2b,http://data.europa.eu/esco/occupation/57a73b7c-cf10-4852-b067-c25833fa149e,http://data.europa.eu/esco/occupation/531e98aa-2a03-489d-b811-ebbb7389864a","0,0,0,0,0",2024-01-03 18:08:26
26,10767,52.0,Bachelor oder vergleichbar,keine,"[""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung""]",Abgeordneter/Abgeordnete,f,andere,83,72,78,56,17,28,56,50,56,78,"http://data.europa.eu/esco/occupation/f7145f87-5940-43f5-bc98-aa1a2b872b47,http://data.europa.eu/esco/occupation/47300afa-5496-484c-8f65-14247a98b2b8,http://data.europa.eu/esco/occupation/c9874f14-5474-43f6-b4a2-77a94f9abfb3,http://data.europa.eu/esco/occupation/599c2ce9-0e1b-4f63-9d65-1f19b3847efb,http://data.europa.eu/esco/occupation/699057b7-7aeb-4b5c-bb90-01d935ff32c1","0,0,0,0,0",2024-01-03 18:38:59
27,10769,47.0,Bachelor oder vergleichbar,zwei Kinder,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus""]",Bürokräfte und verwandte Berufe,f,andere,100,94,100,100,100,100,100,100,94,100,"http://data.europa.eu/esco/occupation/31db6bd9-ee84-4a57-ac9e-87e243ba1c69,http://data.europa.eu/esco/occupation/b9b47087-6045-405d-b769-6a0c94e2eb84,http://data.europa.eu/esco/occupation/09c2b506-cefa-4ba3-b868-a9c2bc4fc6f1,http://data.europa.eu/esco/occupation/0af6fc82-8e5e-46c6-a4ca-a672ecf7704c,http://data.europa.eu/esco/occupation/c2efadc4-6f47-4f34-997b-dd80aba609dd","1,1,1,0,0",2024-01-03 23:44:15
28,10770,58.0,Master/Diplom oder vergleichbar,keine,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur"",""Gesundheit, Soziales, Lehre und Erziehung""]",Produkt- und Dienstleistungsmanager/Produkt- und Dienstleistungsmanagerin,m,de,83,78,78,78,72,83,94,72,72,72,"http://data.europa.eu/esco/occupation/a9411821-4f54-406e-ba37-4c6e5a39f9fe,http://data.europa.eu/esco/occupation/97d65832-3817-4ded-946b-cfc4a0237b9a,http://data.europa.eu/esco/occupation/146f2c99-3f8b-4856-95ba-3ecfea681809,http://data.europa.eu/esco/occupation/725090a7-9943-4dae-8079-a6999d21ddba,http://data.europa.eu/esco/occupation/3417aab3-8b87-4c3b-bee6-be03fe05be2b","0,0,0,0,0",2024-01-04 12:28:11
29,10771,38.0,Abgeschlossene Ausbildung,ein Kind,"[""Gesundheit, Soziales, Lehre und Erziehung""]",Maler und Lackierer,m,andere,78,89,94,94,72,89,94,72,89,72,"http://data.europa.eu/esco/occupation/c90e5009-37f2-4dcd-aea2-362fc817bc98,http://data.europa.eu/esco/occupation/88c55070-444a-45db-abe3-7b95c40bc9ec,http://data.europa.eu/esco/occupation/d2078576-9c43-40f7-bf52-356f53d650fd,http://data.europa.eu/esco/occupation/35fbb8cd-c044-49a1-850c-010481c99b4a,http://data.europa.eu/esco/occupation/c7f5cab7-7cfb-47d7-890c-6b9c00a9eaaf","-1,-1,-1,-1,-1",2024-01-04 13:41:23
30,10772,46.0,Master/Diplom oder vergleichbar,zwei Kinder,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Gesundheit, Soziales, Lehre und Erziehung""]",Manager,f,de,89,78,83,67,67,83,89,72,61,89,"http://data.europa.eu/esco/occupation/95d69048-3a4b-4cce-a155-584aaecfe403,http://data.europa.eu/esco/occupation/146f2c99-3f8b-4856-95ba-3ecfea681809,http://data.europa.eu/esco/occupation/bf367464-950a-416c-98b1-52b9d571550e,http://data.europa.eu/esco/occupation/6040c941-ab83-44b2-84e7-5cbfa1eafcdc,http://data.europa.eu/esco/occupation/3b4eb248-6b40-42fe-9d10-cba8ccfe6613","-1,-1,-1,-1,-1",2024-01-04 14:36:58
31,10773,57.0,Abgeschlossene Ausbildung,keine,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus"",""Verkehr, Logistik, Schutz und Sicherheit""]",Lagerarbeiter/Lagerarbeiterin,m,de,44,39,44,67,72,67,44,56,44,44,"http://data.europa.eu/esco/occupation/f8e435dd-7aa9-4d7a-97c3-b3b5789b6b25,http://data.europa.eu/esco/occupation/c40ef517-d4ab-4932-b184-9c2ea5b24fe2,http://data.europa.eu/esco/occupation/fa5b9075-3796-4e86-be0a-b5e6d725c25a,http://data.europa.eu/esco/occupation/7309ab2d-e2ba-4ccb-b658-6b0a8bd8c4eb,http://data.europa.eu/esco/occupation/8c0f59c9-9a47-42e7-8287-aab19df4e6ab","0,0,0,0,0",2024-01-04 15:23:29
32,10774,28.0,Master/Diplom oder vergleichbar,ein Kind,"[""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus""]",Anwälte,f,andere,39,56,28,61,22,67,61,56,56,72,"http://data.europa.eu/esco/occupation/8a42240b-2b5c-4f6f-8787-f0547fbc46c5,http://data.europa.eu/esco/occupation/11eb55d3-4dbe-45c5-a6ce-f04ae843c938,http://data.europa.eu/esco/occupation/a8c7004a-e59c-4a4d-9092-2cb4533ffe58,http://data.europa.eu/esco/occupation/c6c48286-2037-47e3-a132-b745dce858e2,http://data.europa.eu/esco/occupation/17c02096-05d6-4a5a-ba93-9f22d68df0d3","-1,-1,-1,-1,-1",2024-01-04 22:11:44
33,10775,22.0,(Fach-)Abitur oder vergleichbar,keine,"[""Unternehmensorganisation, Buchhaltung, Recht und Verwaltung"",""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur"",""Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus""]",Sales Managerin,f,andere,83,61,94,83,83,67,83,72,50,94,"http://data.europa.eu/esco/occupation/a79d9e58-36be-4e67-a4db-ea6c8ff445fc,http://data.europa.eu/esco/occupation/511f366c-ba41-4826-9622-8cda6d6e3b91,http://data.europa.eu/esco/occupation/1d6fbb43-f4c7-4839-8099-55eae5d424a5,http://data.europa.eu/esco/occupation/c6e5e0e7-fa99-4f71-9fc1-9889d85282a5,http://data.europa.eu/esco/occupation/234be692-befb-41df-bdf0-e1b2f4eaf5e7","-1,-1,1,-1,-1",2024-01-05 01:12:24
34,10777,39.0,Master/Diplom oder vergleichbar,keine,"[""Verkehr, Logistik, Schutz und Sicherheit""]",,m,andere,83,89,89,100,94,100,89,83,100,89,"http://data.europa.eu/esco/occupation/b9b47087-6045-405d-b769-6a0c94e2eb84,http://data.europa.eu/esco/occupation/09c2b506-cefa-4ba3-b868-a9c2bc4fc6f1,http://data.europa.eu/esco/occupation/99b096eb-a628-4e69-a79b-0563f2ed1b93,http://data.europa.eu/esco/occupation/0af6fc82-8e5e-46c6-a4ca-a672ecf7704c,http://data.europa.eu/esco/occupation/c2efadc4-6f47-4f34-997b-dd80aba609dd","0,0,0,0,0",2024-01-05 12:21:22
35,10779,27.0,(Fach-)Abitur oder vergleichbar,keine,"[""Gesundheit, Soziales, Lehre und Erziehung"",""Sprach-, Geistes-, Gesellschafts- und Wirtschaftswissenschaften, Medien, Kunst und Kultur""]",Postbote/Postbotin,m,de,61,67,78,89,72,83,61,56,61,33,"http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,http://data.europa.eu/esco/occupation/fa32eb3f-5c9f-4668-8f85-5eefb3badab8,http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d,http://data.europa.eu/esco/occupation/f0978ec0-ae7d-4c4a-8f80-3fd200edddac,http://data.europa.eu/esco/occupation/4a5b3686-eea4-4ba0-b446-33f7b6a95aed","0,-1,-1,-1,-1",2024-01-05 19:32:44
